Column Name,Data Type,Description
season,Integer,The season number of the competition (1 to 34).
week,Integer,"The specific week number within the season (e.g., 1, 2, ..., 10)."
celebrity_name,String,The full name of the celebrity contestant.
ori_results,String,"The original result text from the raw dataset (e.g., ""3rd Place"", ""Eliminated Week 5""). Note: This column may contain inconsistencies (e.g., ""3rd Place"" appearing in non-finale weeks)."
parsed_results,String,"The cleaned result text generated by the logic pipeline. Corrects status mismatches (e.g., changing ""3rd Place"" to ""Eliminated Week 5"" if the contestant did not reach the finale)."
age,Integer,The age of the celebrity during the season.
industry,String,"The professional field or background of the celebrity (e.g., ""Actor"", ""Athlete"")."
partner,String,The name of the professional dance partner.
weekly_raw_score,Float,The sum of judge scores for that specific week (unadjusted).
effective_score,Float,"The cumulative score used for elimination purposes. Logic: If no elimination occurred in Week T-1, the score from T-1 is added to Week T (Rolling Sum). Otherwise, it resets to the weekly raw score."
is_accumulated,Boolean,TRUE if effective_score includes scores from previous weeks; FALSE if it represents only the current week's score.
exit_mode,String,"The machine-determined status of the contestant: final (reached finale), eliminated (voted off), withdrew (left voluntarily)."
final_rank,Float,"The standardized global ranking of the contestant for the season. Logic: Explicit ranks (1st, 2nd) take precedence; remaining ranks are inferred based on exit week (descending) with skip-rank logic for ties."
exit_week_parsed,Integer,The specific week number when the contestant was eliminated or withdrew. Derived from the last week the contestant received a non-zero judge score.
judge_metric,Float,"The normalized judge performance metric. • Rank (S1-S2, S28-S34): Weekly rank (Lower is better, method='min').• Percent (S3-S27): Share of total judge points awarded that week (Higher is better)."